Plant_Name,Unit,NRC_Webpage,Docket _Number,Location,State,Region,Licensee,Parent_Name,Parent_Website,Parent_Notes,Reactor_Type ,NSSS_Design Type ,AE,Contructor,Construction_Permit_Issued,Operating_License_Issued,Commercial_Operation,Renewed_Operating_License_Issued,Operating_License_Expires,Licensed_Mwt,Note,2015 Capacity Factor (Percent),2014 Capacity Factor (Percent),2013 Capacity Factor (Percent),2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),Wikipedia_URL,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent)
"Edwin I. Hatch Nuclear Plant, Unit 1",1,https://www.nrc.gov/info-finder/reactors/hat1.html,05000321,"31.934167, -82.343889",GA,2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,www.southerncompany.com,,BWR-MARK 1,GE 4,BECH,GPC,9/30/1969,10/13/1974,12/31/1975,1/15/2002,8/6/2034,2804,,101%,89%,94%,89%,98%,85%,94%,84%,https://en.wikipedia.org/wiki/Edwin_I._Hatch_Nuclear_Power_Plant,91%,90%,95%
"Edwin I. Hatch Nuclear Plant, Unit 2",2,https://www.nrc.gov/info-finder/reactors/hat2.html,05000366,"31.934167, -82.343890",GA,2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,www.southerncompany.com,,BWR-MARK 1,GE 4,BECH,GPC,12/27/1972,6/13/1978,9/5/1979,1/15/2002,6/13/2038,2804,,91%,99%,89%,98%,78%,96%,67%,96%,https://en.wikipedia.org/wiki/Edwin_I._Hatch_Nuclear_Power_Plant,87%,97%,90%
"Fermi, Unit 2",2,https://www.nrc.gov/info-finder/reactors/ferm2.html,05000341,"41.962778, -83.2575",MI,3,DTE Electric Company,DTE Electric Company (DTE),www.dteenergy.com,,BWR-MARK 1,GE 4,S&L,DANI,9/26/1972,7/15/1985,1/23/1988,N/A,3/20/2025,3486,,69%,82%,62%,54%,94%,80%,75%,98%,https://en.wikipedia.org/wiki/Enrico_Fermi_Nuclear_Generating_Station,90%,87%,83%
"Grand Gulf Nuclear Station, Unit 1",1,https://www.nrc.gov/info-finder/reactors/gg1.html,05000416,"32.006667, -91.048333",MS,4,"Entergy Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,BWR-MARK 3,GE 6,BECH,BECH,9/4/1974,11/1/1984,7/1/1985,N/A,11/1/2024,4408,,93%,82%,86%,70%,94%,88%,100%,86%,https://en.wikipedia.org/wiki/Grand_Gulf_Nuclear_Generating_Station,91%,92%,99%
"H. B. Robinson Steam Electric Plant, Unit 2",2,https://www.nrc.gov/info-finder/reactors/rob2.html,05000261,"34.402778, -80.158333",SC,2,"Duke Energy Progress, Inc.",Duke Energy,www.duke-energy.com,,PWR-DRYAMB,WEST 3LP,EBSO,EBSO,4/13/1967,7/31/1970,3/7/1971,4/19/2004,7/31/2030,2339,,85%,86%,85%,85%,100%,57%,104%,87%,https://en.wikipedia.org/wiki/H._B._Robinson_Nuclear_Generating_Station,93%,92%,104%
"Hope Creek Generating Station, Unit 1",1,https://www.nrc.gov/info-finder/reactors/hope.html,05000354,"39.467778, -75.538056",NJ,1,"PSEG Nuclear, LLC","PSEG Nuclear, LLC",www.pseg.com,,BWR-MARK 1,GE 4,BECH,BECH,11/4/1974,7/25/1986,12/20/1986,7/20/2011,4/11/2046,3840,,83%,102%,80%,93%,103%,93%,95%,108%,https://en.wikipedia.org/wiki/Hope_Creek_Nuclear_Generating_Station,83%,65%,79%
"Indian Point Nuclear Generating, Unit 2",2,https://www.nrc.gov/info-finder/reactors/ip2.html,05000247,"41.269722, -73.952222",NY,1,"Entergy Nuclear Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,PWR-DRYAMB,WEST 4LP,UE&C,WDCO,10/14/1966,9/28/1973,8/1/1974,N/A,9/28/2013,3216,,77%,93%,77%,90%,98%,82%,98%,91%,https://en.wikipedia.org/wiki/Indian_Point_Energy_Center,99%,88%,99%
"Indian Point Nuclear Generating, Unit 3",3,https://www.nrc.gov/info-finder/reactors/ip3.html,05000286,"41.269722, -73.952222",NY,1,"Entergy Nuclear Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,PWR-DRYAMB,WEST 4LP,UE&C,WDCO,8/13/1969,12/12/1975,8/30/1976,N/A,12/12/2015,3216,,86%,98%,94%,100%,90%,99%,85%,107%,https://en.wikipedia.org/wiki/Indian_Point_Energy_Center,90%,101%,88%
"James A. FitzPatrick Nuclear Power Plant, Unit 1",1,https://www.nrc.gov/info-finder/reactors/fitz.html,05000333,"43.523333, -76.398333",NY,1,"Entergy Nuclear FitzPatrick, LLC.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,BWR-MARK 1,GE 4,S&W,S&W,5/20/1970,10/17/1974,7/28/1975,9/8/2008,10/17/2034,2536,,96%,79%,89%,84%,97%,85%,99%,89%,https://en.wikipedia.org/wiki/James_A._FitzPatrick_Nuclear_Power_Plant,95%,87%,96%
"Joseph M. Farley Nuclear Plant, Unit 1",1,https://www.nrc.gov/info-finder/reactors/far1.html,05000348,"31.223056, -85.111667",AL,2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,www.southerncompany.com,,PWR-DRYAMB,WEST 3LP,SSI,DANI,8/16/1972,6/25/1977,12/1/1977,5/12/2005,6/25/2037,2775,,86%,102%,90%,91%,101%,88%,90%,97%,https://en.wikipedia.org/wiki/Joseph_M._Farley_Nuclear_Generating_Station,99%,86%,91%
"Joseph M. Farley Nuclear Plant, Unit 2",2,https://www.nrc.gov/info-finder/reactors/far2.html,05000364,"31.223056, -85.111667",AL,2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,www.southerncompany.com,,PWR-DRYAMB,WEST 3LP,SSI,BECH,8/16/1972,3/31/1981,7/30/1981,5/12/2005,3/31/2041,2775,,98%,89%,91%,104%,89%,88%,96%,90%,https://en.wikipedia.org/wiki/Joseph_M._Farley_Nuclear_Generating_Station,84%,89%,100%
"LaSalle County Station, Unit 1",1,https://www.nrc.gov/info-finder/reactors/lasa1.html,05000373,"41.245556, -88.669167",IL,3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 2,GE 5,S&L,CWE,9/10/1973,4/17/1982,1/1/1984,N/A,4/17/2022,3546,,99%,93%,95%,97%,101%,94%,99%,100%,https://en.wikipedia.org/wiki/LaSalle_County_Nuclear_Generating_Station,100%,92%,92%
"LaSalle County Station, Unit 2",2,https://www.nrc.gov/info-finder/reactors/lasa2.html,05000374,"41.245556, -88.669167",IL,3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 2,GE 5,S&L,CWE,9/10/1973,12/16/1983,10/19/1984,N/A,12/16/2023,3546,,83%,95%,88%,103%,96%,101%,93%,94%,https://en.wikipedia.org/wiki/LaSalle_County_Nuclear_Generating_Station,91%,101%,91%
"Limerick Generating Station, Unit 1",1,https://www.nrc.gov/info-finder/reactors/lim1.html,05000352,"40.226667, -75.587222",PA,1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 2,GE 4,BECH,BECH,6/19/1974,8/8/1985,2/1/1986,10/20/2014,10/26/2044,3515,,100%,91%,101%,85%,96%,91%,101%,95%,https://en.wikipedia.org/wiki/Limerick_Generating_Station,99%,95%,101%
"Limerick Generating Station, Unit 2",2,https://www.nrc.gov/info-finder/reactors/lim2.html,05000353,"40.226667, -75.587222",PA,1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 2,GE 4,BECH,BECH,6/19/1974,8/25/1989,1/8/1990,10/20/2014,6/22/2049,3515,,89%,99%,94%,95%,90%,99%,94%,101%,https://en.wikipedia.org/wiki/Limerick_Generating_Station,91%,99%,94%
"McGuire Nuclear Station, Unit 1",1,https://www.nrc.gov/info-finder/reactors/mcg1.html,05000369,"35.4325, -80.948333",NC,2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-ICECND,WEST 4LP,DUKE,DUKE,2/23/1973,7/8/1981,12/1/1981,12/5/2003,6/12/2041,3411,,95%,82%,82%,105%,94%,92%,104%,87%,https://en.wikipedia.org/wiki/McGuire_Nuclear_Station,93%,85%,103%
"McGuire Nuclear Station, Unit 2",2,https://www.nrc.gov/info-finder/reactors/mcg2.html,05000370,"35.4325, -80.948333",NC,2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-ICECND,WEST 4LP,DUKE,DUKE,2/23/1973,5/27/1983,3/1/1984,12/5/2003,3/3/2043,3411,,87%,94%,95%,82%,91%,104%,94%,90%,https://en.wikipedia.org/wiki/McGuire_Nuclear_Station,89%,103%,94%
"Millstone Power Station, Unit 2",2,https://www.nrc.gov/info-finder/reactors/mill2.html,05000336,"41.311944, -72.168611",CT,1,"Dominion Nuclear Conneticut, Inc.",Dominion Generation,www.dom.com,,PWR-DRYAMB,CE,BECH,BECH,12/11/1970,9/26/1975,12/26/1975,11/28/2005,7/31/2035,2700,,85%,85%,95%,83%,87%,97%,81%,86%,https://en.wikipedia.org/wiki/Millstone_Nuclear_Power_Plant,88%,98%,80%
"Millstone Power Station, Unit 3",3,https://www.nrc.gov/info-finder/reactors/mill3.html,05000423,"41.311944, -72.168611",CT,1,"Dominion Nuclear Conneticut, Inc.",Dominion Generation,www.dom.com,,PWR-DRYSUB,WEST 4LP,S&W,S&W,8/9/1974,1/31/1986,4/23/1986,11/28/2005,11/25/2045,3650,,97%,87%,87%,100%,87%,86%,105%,88%,https://en.wikipedia.org/wiki/Millstone_Nuclear_Power_Plant,86%,88%,101%
"Monticello Nuclear Generating Plant, Unit 1",1,https://www.nrc.gov/info-finder/reactors/mont.html,05000263,"45.333611, -93.849167",MN,3,Northern States Power Company - Minnesota,Northern States Power Company Minnesota doing business as Xcel Energy,www.xcelenergy.com,,BWR-MARK 1,GE 3,BECH,BECH,6/19/1967,1/9/1981,6/30/1971,11/8/2006,9/8/2030,2004,"AEC issued a provisional OL on 09/08/1970, allowing commercial operation. The NRC issued a full-term OL on 01/09/1981.",78%,78%,50%,101%,69%,94%,83%,97%,https://en.wikipedia.org/wiki/Monticello_Nuclear_Generating_Plant,89%,101%,92%
"Nine Mile Point Nuclear Station, Unit 1",1,https://www.nrc.gov/info-finder/reactors/nmp1.html,05000220,"43.520833, -76.406944",NY,1,"Nine Mile Point Nuclear Station, LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 2,NIAG,S&W,4/12/1965,12/26/1974,12/1/1969,10/31/2006,8/22/2029,1850,"AEC issued a provisional OL on 08/22/1969, allowing commercial operation. The NRC issued a full-term OL on 12/26/1974.",88%,98%,88%,87%,84%,97%,92%,98%,https://en.wikipedia.org/wiki/Nine_Mile_Point_Nuclear_Generating_Station,85%,92%,80%
"Nine Mile Point Nuclear Station, Unit 2",2,https://www.nrc.gov/info-finder/reactors/nmp2.html,05000410,"43.520833, -76.406944",NY,1,"Nine Mile Point Nuclear Station, LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 2,GE 5,S&W,S&W,6/24/1974,7/2/1987,3/11/1988,10/31/2006,10/31/2046,3988,,100%,87%,99%,83%,95%,89%,99%,90%,https://en.wikipedia.org/wiki/Nine_Mile_Point_Nuclear_Generating_Station,100%,86%,96%
"North Anna Power Station, Unit 1",1,https://www.nrc.gov/info-finder/reactors/na1.html,05000338,"38.060556, -77.789444",VA,2,Virginia Electric & Power Co.,Dominion Generation,www.dom.com,,PWR-DRYSUB,WEST 3LP,S&W,S&W,2/19/1971,4/1/1978,6/6/1978,3/20/2003,4/1/2038,2940,,91%,100%,89%,89%,78%,86%,92%,101%,https://en.wikipedia.org/wiki/North_Anna_Nuclear_Generating_Station,95%,91%,81%
"North Anna Power Station, Unit 2",2,https://www.nrc.gov/info-finder/reactors/na2.html,05000339,"38.060556, -77.789444",VA,2,Virginia Electric & Power Co.,Dominion Generation,www.dom.com,,PWR-DRYSUB,WEST 3LP,S&W,S&W,2/19/1971,8/21/1980,12/14/1980,3/20/2003,8/21/2040,2940,,99%,92%,85%,99%,76%,100%,100%,82%,https://en.wikipedia.org/wiki/North_Anna_Nuclear_Generating_Station,87%,92%,90%
"Oconee Nuclear Station, Unit 1",1,https://www.nrc.gov/info-finder/reactors/oco1.html,05000269,"34.793889, -82.898056",SC,2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-DRYAMB,B&W LLP,DBDB,DUKE,11/6/1967,2/6/1973,7/15/1973,5/23/2000,2/6/2033,2568,,96%,91%,91%,90%,79%,100%,85%,84%,https://en.wikipedia.org/wiki/Oconee_Nuclear_Station,91%,98%,71%
"Oconee Nuclear Station, Unit 2",2,https://www.nrc.gov/info-finder/reactors/oco2.html,05000270,"34.793889, -82.898056",SC,2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-DRYAMB,B&W LLP,DBDB,DUKE,11/6/1967,10/6/1973,9/9/1974,5/23/2000,10/6/2033,2568,,89%,101%,82%,102%,93%,91%,103%,86%,https://en.wikipedia.org/wiki/Oconee_Nuclear_Station,90%,76%,102%
"Oconee Nuclear Station, Unit 3",3,https://www.nrc.gov/info-finder/reactors/oco3.html,05000287,"34.793889, -82.898056",SC,2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-DRYAMB,B&W LLP,DBDB,DUKE,11/6/1967,7/19/1974,12/16/1974,5/23/2000,7/19/2034,2568,,97%,92%,97%,86%,103%,91%,94%,102%,https://en.wikipedia.org/wiki/Oconee_Nuclear_Station,98%,77%,85%
"Palisades Nuclear Plant, Unit 1",1,https://www.nrc.gov/info-finder/reactors/pali.html,05000255,"42.322778, -86.314444",MI,3,"Entergy Nuclear Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,PWR-DRYAMB,CE,BECH,BECH,3/14/1967,2/21/1991,12/31/1971,1/17/2007,3/24/2031,2565.4,"AEC issued a provisional OL on 003/24/1971, allowing commercial operation. The NRC issued a full-term OL on 02/21/1991.",89%,86%,85%,74%,96%,92%,90%,99%,https://en.wikipedia.org/wiki/Palisades_Nuclear_Generating_Station,79%,92%,95%
"Palo Verde Nuclear Generating Station, Unit 1",1,https://www.nrc.gov/info-finder/reactors/palo1.html,05000528,"33.389167, -112.865",AZ,4,Arizona Public Service Company,Arizona Public Service Company,www.aps.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,CE80-2L,BECH,BECH,5/25/1976,6/1/1985,1/28/1986,4/21/2011,6/1/2045,3990,,94%,90%,85%,100%,83%,81%,101%,86%,https://en.wikipedia.org/wiki/Palo_Verde_Nuclear_Generating_Station,63%,85%,97%
"Palo Verde Nuclear Generating Station, Unit 2",2,https://www.nrc.gov/info-finder/reactors/palo2.html,0'5000529,"33.389167, -112.866",AZ,4,Arizona Public Service Company,Arizona Public Service Company,www.aps.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,CE80-2L,BECH,BECH,5/25/1976,4/24/1986,9/19/1986,4/21/2011,4/24/2046,3990,,85%,90%,91%,90%,91%,101%,83%,74%,https://en.wikipedia.org/wiki/Palo_Verde_Nuclear_Generating_Station,82%,92%,72%
"Palo Verde Nuclear Generating Station, Unit 3",3,https://www.nrc.gov/info-finder/reactors/palo3.html,05000530,"33.389167, -112.867",AZ,4,Arizona Public Service Company,Arizona Public Service Company,www.aps.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,CE80-2L,BECH,BECH,5/25/1976,11/25/1987,1/8/1988,4/21/2011,11/25/2047,3990,,85%,101%,79%,88%,97%,89%,83%,97%,https://en.wikipedia.org/wiki/Palo_Verde_Nuclear_Generating_Station,84%,75%,88%
"Peach Bottom Atomic Power Station, Unit 2",2,https://www.nrc.gov/info-finder/reactors/pb2.html,05000277,"39.758333, -76.268056",PA,1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 4,BECH,BECH,1/31/1968,10/25/1973,7/5/1974,5/7/2003,8/8/2033,3951,,99%,88%,100%,88%,101%,92%,102%,89%,https://en.wikipedia.org/wiki/Peach_Bottom_Nuclear_Generating_Station,98%,91%,95%
"Peach Bottom Atomic Power Station, Unit 3",3,https://www.nrc.gov/info-finder/reactors/pb3.html,05000278,"39.758333, -76.268056",PA,1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 4,BECH,BECH,1/31/1968,7/2/1974,12/23/1974,5/7/2003,7/2/2034,3951,,75%,103%,85%,103%,90%,100%,89%,99%,https://en.wikipedia.org/wiki/Peach_Bottom_Nuclear_Generating_Station,91%,102%,91%
"Perry Nuclear Power Plant, Unit 1",1,https://www.nrc.gov/info-finder/reactors/perr1.html,05000440,"41.800833, -81.143333",OH,3,First Energy Nuclear Operating Co.,First Energy Nuclear Operating Company,www.firstenergycorp.com,,BWR-MARK 3,GE 6,GIL,KAIS,5/3/1977,11/13/1986,11/18/1987,N/A,3/18/2026,3758,,83%,96%,73%,92%,79%,98%,67%,98%,https://en.wikipedia.org/wiki/Perry_Nuclear_Generating_Station,71%,94%,79%
"Pilgrim Nuclear Power Station, Unit 1",1,https://www.nrc.gov/info-finder/reactors/pilg.html,0'5000293,"41.945, -70.578333",MA,1,"Entergy Nuclear Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,BWR-MARK 1,GE 3,BECH,BECH,8/26/1968,6/8/1972,12/1/1972,5/29/2012,6/8/2032,2028,,85%,97%,74%,98%,85%,99%,90%,97%,https://en.wikipedia.org/wiki/Pilgrim_Nuclear_Generating_Station,91%,99%,83%
"Point Beach Nuclear Plant, Unit 1",1,https://www.nrc.gov/info-finder/reactors/poin1.html,05000266,"44.281111, -87.536667",WI,3,"NextEra Energy Point Beach, LLC","NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",www.fplgroup.com,,PWR-DRYAMB,WEST 2LP,BECH,BECH,7/19/1967,10/5/1970,12/21/1970,12/22/2005,10/5/2030,1800,,92%,90%,84%,100%,79%,88%,98%,87%,https://en.wikipedia.org/wiki/Point_Beach_Nuclear_Plant,81%,81%,97%
"Point Beach Nuclear Plant, Unit 2",2,https://www.nrc.gov/info-finder/reactors/poin2.html,05000301,"44.281111, -87.536667",WI,3,"NextEra Energy Point Beach, LLC","NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",www.fplgroup.com,,PWR-DRYAMB,WEST 2LP,BECH,BECH,7/25/1968,3/8/1973,10/1/1972,12/22/2005,3/8/2033,1800,AEC issued a provisional OL on 11/18/1971. The NRC issued a full-term OL on 03/08/1973.,86%,90%,93%,89%,67%,96%,84%,89%,https://en.wikipedia.org/wiki/Point_Beach_Nuclear_Plant,72%,97%,83%
"Prairie Island Nuclear Generating Plant, Unit 1",1,https://www.nrc.gov/info-finder/reactors/prai1.html,05000282,"44.621667, -92.633056",MN,3,Northern States Power Co. Minnesota ,Northern States Power Company Minnesota doing business as Xcel Energy,www.xcelenergy.com,,PWR-DRYAMB,WEST 2LP,FLUR,NSP,6/25/1968,4/5/1974,12/16/1973,6/27/2011,8/9/2033,1677,AEC issued a provisional OL on 08/09/1973. The NRC issued a full-term OL on 04/05/1974.,77%,84%,90%,81%,91%,96%,97%,84%,https://en.wikipedia.org/wiki/Prairie_Island_Nuclear_Power_Plant,99%,79%,101%
"Prairie Island Nuclear Generating Plant, Unit 2",2,https://www.nrc.gov/info-finder/reactors/prai2.html,05000306,"44.621667, -92.633056",MN,3,Northern States Power Co. Minnesota ,Northern States Power Company Minnesota doing business as Xcel Energy,www.xcelenergy.com,,PWR-DRYAMB,WEST 2LP,FLUR,NSP,6/25/1968,10/29/1974,12/21/1974,6/27/2011,10/29/2034,1677,,65%,101%,59%,74%,99%,86%,75%,85%,https://en.wikipedia.org/wiki/Prairie_Island_Nuclear_Power_Plant,84%,102%,93%
"Quad Cities Nuclear Power Station, Unit 1",1,https://www.nrc.gov/info-finder/reactors/quad1.html,05000254,"41.726389, -90.31",IL,3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 3,S&L,UE&C,2/15/1967,12/14/1972,2/18/1973,10/28/2004,12/14/2032,2957,,83%,103%,85%,102%,92%,99%,82%,96%,https://en.wikipedia.org/wiki/Quad_Cities_Nuclear_Generating_Station,83%,85%,90%
"Quad Cities Nuclear Power Station, Unit 2",2,https://www.nrc.gov/info-finder/reactors/quad2.html,05000265,"41.726389, -90.31",IL,3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 3,S&L,UE&C,2/15/1967,12/14/1972,3/10/1973,10/28/2004,12/14/2032,2957,,95%,90%,91%,92%,104%,92%,91%,86%,https://en.wikipedia.org/wiki/Quad_Cities_Nuclear_Generating_Station,93%,81%,92%
"R.E. Ginna Nuclear Power Plant, Unit 1",1,https://www.nrc.gov/info-finder/reactors/ginn.html,05000244,"43.277778, -77.31",NY,1,"R.E. Ginna Nuclear Power Plant, LLC","Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,WEST 2LP,GIL,BECH,4/25/1966,9/19/1969,7/1/1970,5/19/2004,9/18/2029,1775,,89%,91%,93%,90%,84%,97%,91%,109%,https://en.wikipedia.org/wiki/R._E._Ginna_Nuclear_Power_Plant,92%,99%,89%
"River Bend Station, Unit 1",1,https://www.nrc.gov/info-finder/reactors/rbs1.html,05000458,"30.756667, -91.333333",LA,4,"Entergy Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,BWR-MARK 3,GE 6,S&W,S&W,3/25/1977,11/20/1985,6/16/1986,N/A,8/29/2025,3091,,76%,96%,84%,91%,90%,98%,113%,82%,https://en.wikipedia.org/wiki/River_Bend_Nuclear_Generating_Station,93%,87%,89%
"Salem Nuclear Generating Station, Unit 1",1,https://www.nrc.gov/info-finder/reactors/salm1.html,05000272,"39.462778, -75.535556",NJ,1,"PSEG Nuclear, LLC","PSEG Nuclear, LLC",www.pseg.com,,PWR-DRYAMB,WEST 4LP,PSEG,UE&C,9/25/1968,12/1/1976,6/30/1977,6/30/2011,8/13/2036,3459,,95%,86%,88%,97%,86%,85%,99%,91%,https://en.wikipedia.org/wiki/Salem_Nuclear_Power_Plant,92%,72%,94%
"Salem Nuclear Generating Station, Unit 2",2,https://www.nrc.gov/info-finder/reactors/salm2.html,05000311,"39.462778, -75.535556",NJ,1,"PSEG Nuclear, LLC","PSEG Nuclear, LLC",www.pseg.com,,PWR-DRYAMB,WEST 4LP,PSEG,UE&C,9/25/1968,5/20/1981,10/13/1981,6/30/2011,4/18/2040,3459,,85%,73%,100%,88%,89%,98%,93%,83%,https://en.wikipedia.org/wiki/Salem_Nuclear_Power_Plant,90%,88%,82%
"Seabrook Station, Unit 1",1,https://www.nrc.gov/info-finder/reactors/seab1.html,05000443,"42.898889, -70.850833",NH,1,"NextEra Energy Seabrook, LLC","NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",www.fplgroup.com,,PWR-DRYAMB,WEST 4LP,UE&C,UE&C,7/7/1976,3/15/1990,8/19/1990,N/A,3/15/2030,3648,,87%,93%,100%,75%,77%,100%,81%,89%,https://en.wikipedia.org/wiki/Seabrook_Station_Nuclear_Power_Plant,89%,100%,91%
"Sequoyah Nuclear Plant, Unit 1",1,https://www.nrc.gov/info-finder/reactors/seq1.html,05000327,"35.226389, -85.091667",TN,2,Tenessee Valley Authority ,Tennessee Valley Authority,www.tva.gov,,PWR-ICECND,WEST 4LP,TVA,TVA,5/27/1970,9/17/1980,7/1/1981,9/24/2015,9/17/2040,3455,,87%,100%,83%,89%,98%,84%,89%,101%,https://en.wikipedia.org/wiki/Sequoyah_Nuclear_Generating_Station,100%,92%,73%
"Sequoyah Nuclear Plant, Unit 2",2,https://www.nrc.gov/info-finder/reactors/seq2.html,05000328,"35.226389, -85.091667",TN,2,Tenessee Valley Authority ,Tennessee Valley Authority,www.tva.gov,,PWR-ICECND,WEST 4LP,TVA,TVA,5/27/1970,9/15/1981,6/1/1982,9/25/2015,9/15/2041,3455,,73%,90%,90%,77%,89%,97%,89%,89%,https://en.wikipedia.org/wiki/Sequoyah_Nuclear_Generating_Station,90%,96%,84%
"Shearon Harris Nuclear Power Plant, Unit 1",1,https://www.nrc.gov/info-finder/reactors/har1.html,05000400,"35.633333, -78.955",NC,2,"Duke Energy Progress, Inc.",Duke Energy,www.duke-energy.com,,PWR-DRYAMB,WEST 3LP,EBSO,DANI,1/27/1978,10/24/1986,5/2/1987,12/17/2008,10/24/2046,2948,,87%,99%,83%,90%,103%,90%,94%,99%,https://en.wikipedia.org/wiki/Shearon_Harris_Nuclear_Power_Plant,101%,89%,92%
"South Texas Project, Unit 1",1,https://www.nrc.gov/info-finder/reactors/stp1.html,05000498,"28.795556, -96.048889",TX,4,STP Nuclear Operating Co.,STP Nuclear Operating Company,www.stpnoc.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,WEST 4LP,BECH,EBSO,12/22/1975,3/22/1988,8/25/1988,N/A,8/20/2027,3853,,78%,81%,91%,93%,94%,101%,90%,95%,https://en.wikipedia.org/wiki/South_Texas_Nuclear_Generating_Station,88%,99%,61%
